make,name,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
American Motors Corporation,AMC Concord,4099,22,3,2.5,11,2930,186,40,121,3.5799999,0
American Motors Corporation,AMC Pacer,4749,17,3,3,11,3350,173,40,258,2.53,0
American Motors Corporation,AMC Spirit,3799,22,,3,12,2640,168,35,121,3.0799999,0
Buick,Buick Century,4816,20,3,4.5,16,3250,196,40,196,2.9300001,0
Buick,Buick Electra,7827,15,4,4,20,4080,222,43,350,2.4100001,0
Buick,Buick LeSabre,5788,18,3,4,21,3670,218,43,231,2.73,0
Buick,Buick Opel,4453,26,,3,10,2230,170,34,304,2.8699999,0
Buick,Buick Regal,5189,20,3,2,16,3280,200,42,196,2.9300001,0
Buick,Buick Riviera,10372,16,3,3.5,17,3880,207,43,231,2.9300001,0
Buick,Buick Skylark,4082,19,3,3.5,13,3400,200,42,231,3.0799999,0
Cadillac,Cad. Deville,11385,14,3,4,20,4330,221,44,425,2.28,0
Cadillac,Cad. Eldorado,14500,14,2,3.5,16,3900,204,43,350,2.1900001,0
Cadillac,Cad. Seville,15906,21,3,3,13,4290,204,45,350,2.24,0
Chevrolet,Chev. Chevette,3299,29,3,2.5,9,2110,163,34,231,2.9300001,0
Chevrolet,Chev. Impala,5705,16,4,4,20,3690,212,43,250,2.5599999,0
Chevrolet,Chev. Malibu,4504,22,3,3.5,17,3180,193,31,200,2.73,0
Chevrolet,Chev. Monte Carlo,5104,22,2,2,16,3220,200,41,200,2.73,0
Chevrolet,Chev. Monza,3667,24,2,2,7,2750,179,40,151,2.73,0
Chevrolet,Chev. Nova,3955,19,3,3.5,13,3430,197,43,250,2.5599999,0
Dodge,Dodge Colt,3984,30,5,2,8,2120,163,35,98,3.54,0
Dodge,Dodge Diplomat,4010,18,2,4,17,3600,206,46,318,2.47,0
Dodge,Dodge Magnum,5886,16,2,4,17,3600,206,46,318,2.47,0
Dodge,Dodge St. Regis,6342,17,2,4.5,21,3740,220,46,225,2.9400001,0
Ford,Ford Fiesta,4389,28,4,1.5,9,1800,147,33,98,3.1500001,0
Ford,Ford Mustang,4187,21,3,2,10,2650,179,43,140,3.0799999,0
Lincoln,Linc. Continental,11497,12,3,3.5,22,4840,233,51,400,2.47,0
Lincoln,Linc. Mark V,13594,12,3,2.5,18,4720,230,48,400,2.47,0
Lincoln,Linc. Versailles,13466,14,3,3.5,15,3830,201,41,302,2.47,0
Mercury,Merc. Bobcat,3829,22,4,3,9,2580,169,39,140,2.73,0
Mercury,Merc. Cougar,5379,14,4,3.5,16,4060,221,48,302,2.75,0
Mercury,Merc. Marquis,6165,15,3,3.5,23,3720,212,44,302,2.26,0
Mercury,Merc. Monarch,4516,18,3,3,15,3370,198,41,250,2.4300001,0
Mercury,Merc. XR-7,6303,14,4,3,16,4130,217,45,302,2.75,0
Mercury,Merc. Zephyr,3291,20,3,3.5,17,2830,195,43,140,3.0799999,0
Oldsmobile,Olds 98,8814,21,4,4,20,4060,220,43,350,2.4100001,0
Oldsmobile,Olds Cutl Supr,5172,19,3,2,16,3310,198,42,231,2.9300001,0
Oldsmobile,Olds Cutlass,4733,19,3,4.5,16,3300,198,42,231,2.9300001,0
Oldsmobile,Olds Delta 88,4890,18,4,4,20,3690,218,42,231,2.73,0
Oldsmobile,Olds Omega,4181,19,3,4.5,14,3370,200,43,231,3.0799999,0
Oldsmobile,Olds Starfire,4195,24,1,2,10,2730,180,40,151,2.73,0
Oldsmobile,Olds Toronado,10371,16,3,3.5,17,4030,206,43,350,2.4100001,0
Plymouth,Plymouth Arrow,4647,28,3,2,11,3260,170,37,156,3.05,0
Plymouth,Plymouth Champ,4425,34,5,2.5,11,1800,157,37,86,2.97,0
Plymouth,Plymouth Horizon,4482,25,3,4,17,2200,165,36,105,3.3699999,0
Plymouth,Plymouth Sapporo,6486,26,,1.5,8,2520,182,38,119,3.54,0
Plymouth,Plymouth Volare,4060,18,2,5,16,3330,201,44,225,3.23,0
Pontiac,Pont. Catalina,5798,18,4,4,20,3700,214,42,231,2.73,0
Pontiac,Pont. Firebird,4934,18,1,1.5,7,3470,198,42,231,3.0799999,0
Pontiac,Pont. Grand Prix,5222,19,3,2,16,3210,201,45,231,2.9300001,0
Pontiac,Pont. Le Mans,4723,19,3,3.5,17,3200,199,40,231,2.9300001,0
Pontiac,Pont. Phoenix,4424,19,,3.5,13,3420,203,43,231,3.0799999,0
Pontiac,Pont. Sunbird,4172,24,2,2,7,2690,179,41,151,2.73,0
Audi,Audi 5000,9690,17,5,3,15,2830,189,37,131,3.2,1
Audi,Audi Fox,6295,23,3,2.5,11,2070,174,36,97,3.7,1
BMW,BMW 320i,9735,25,4,2.5,12,2650,177,34,121,3.6400001,1
Datsun,Datsun 200,6229,23,4,1.5,6,2370,170,35,119,3.8900001,1
Datsun,Datsun 210,4589,35,5,2,8,2020,165,32,85,3.7,1
